Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,1031681,-,-,-,28.45,-81.46,0,35,-5,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,4.0.1
Year,Month,Day,Hour,Minute,Temperature,Alpha,Aerosol Optical Depth,Asymmetry,Clearsky DHI,Clearsky DNI,Clearsky GHI,Cloud Fill Flag,Cloud Type,Dew Point,DHI,DNI,Fill Flag,GHI,Ozone,Relative Humidity,Solar Zenith Angle,SSA,Surface Albedo,Pressure,Precipitable Water,Wind Direction,Wind Speed
2020,1,1,0,30,12.8,1.43,0.052000000000000005,0.65,0,0,0,0,0,9.1,0,0,0,0,0.249,78.01,113.56,0.92,0.16,1015,1.8,294,1.3
2020,1,1,1,30,11.9,1.44,0.048,0.65,0,0,0,0,0,8.4,0,0,0,0,0.25,79.01,126.47,0.92,0.16,1015,1.8,294,1.4000000000000001
2020,1,1,2,30,11.3,1.44,0.045,0.65,0,0,0,0,0,7.9,0,0,0,0,0.252,79.58,139.58,0.91,0.16,1015,1.8,296,1.4000000000000001
2020,1,1,3,30,10.8,1.43,0.045,0.65,0,0,0,0,0,7.6000000000000005,0,0,0,0,0.252,80.53,152.75,0.92,0.16,1015,1.9000000000000001,299,1.4000000000000001
2020,1,1,4,30,10.600000000000001,1.42,0.046,0.65,0,0,0,0,0,7.4,0,0,0,0,0.252,80.77,165.68,0.92,0.16,1015,2.1,302,1.5
2020,1,1,5,30,10.600000000000001,1.4000000000000001,0.052000000000000005,0.65,0,0,0,0,0,7.4,0,0,0,0,0.252,80.46000000000001,174.6,0.93,0.16,1015,2.2,308,1.6
2020,1,1,6,30,10.4,1.41,0.057,0.65,0,0,0,0,0,7.6000000000000005,0,0,0,0,0.252,82.58,165.26,0.93,0.16,1015,2.2,315,1.6
2020,1,1,7,30,9.9,1.44,0.055,0.65,0,0,0,0,3,7.300000000000001,0,0,0,0,0.251,83.7,152.31,0.93,0.16,1014,2,323,1.4000000000000001
2020,1,1,8,30,9.4,1.45,0.051000000000000004,0.65,0,0,0,0,0,7,0,0,0,0,0.252,85.26,139.13,0.93,0.16,1014,1.9000000000000001,328,1.4000000000000001
2020,1,1,9,30,9.1,1.45,0.048,0.65,0,0,0,0,3,6.9,0,0,0,0,0.252,85.85000000000001,126.02,0.92,0.16,1014,1.9000000000000001,331,1.4000000000000001
2020,1,1,10,30,8.8,1.45,0.05,0.65,0,0,0,0,3,6.7,0,0,0,0,0.253,86.53,113.12,0.93,0.16,1015,1.9000000000000001,335,1.6
