Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,9436917,-,-,-,-5.8,-35.21,0,37,-3,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,4.0.0
Year,Month,Day,Hour,Minute,Temperature,Alpha,Aerosol Optical Depth,Asymmetry,Clearsky DHI,Clearsky DNI,Clearsky GHI,Cloud Fill Flag,Cloud Type,Dew Point,DHI,DNI,Fill Flag,GHI,Ozone,Relative Humidity,Solar Zenith Angle,SSA,Surface Albedo,Pressure,Precipitable Water,Wind Direction,Wind Speed
2020,1,1,0,0,27,0.75,0.083,0.64,0,0,0,0,7,24.3,0,0,0,0,0.251,85.05,134.52,0.9500000000000001,0.16,1011,5.300000000000001,96,4.3
2020,1,1,0,30,27,0.75,0.083,0.64,0,0,0,0,6,24.3,0,0,0,0,0.25,85.05,139.91,0.9500000000000001,0.16,1011,5.4,96,4.2
2020,1,1,1,0,26.900000000000002,0.74,0.08,0.64,0,0,0,0,6,24.3,0,0,0,0,0.25,85.86,144.6,0.96,0.16,1011,5.4,96,4.1000000000000005
2020,1,1,1,30,26.8,0.74,0.08,0.64,0,0,0,0,6,24.3,0,0,0,0,0.249,86.36,148.28,0.96,0.16,1011,5.4,96,4.1000000000000005
2020,1,1,2,0,26.8,0.71,0.078,0.64,0,0,0,0,6,24.400000000000002,0,0,0,0,0.249,86.5,150.56,0.96,0.16,1010,5.4,96,4.1000000000000005
2020,1,1,2,30,26.700000000000003,0.71,0.078,0.64,0,0,0,0,6,24.400000000000002,0,0,0,0,0.248,87.01,151.11,0.96,0.16,1010,5.4,95,4.1000000000000005
2020,1,1,3,0,26.6,0.6900000000000001,0.078,0.64,0,0,0,0,6,24.400000000000002,0,0,0,0,0.248,87.53,149.84,0.96,0.16,1010,5.300000000000001,94,4.2
2020,1,1,3,30,26.6,0.6900000000000001,0.078,0.64,0,0,0,0,6,24.3,0,0,0,0,0.248,87.44,146.95000000000002,0.96,0.16,1009,5.300000000000001,92,4.2
2020,1,1,4,0,26.5,0.68,0.078,0.64,0,0,0,0,6,24.3,0,0,0,0,0.248,87.94,142.83,0.96,0.16,1009,5.2,89,4.3
2020,1,1,4,30,26.5,0.68,0.078,0.64,0,0,0,0,6,24.3,0,0,0,0,0.249,87.94,137.82,0.96,0.16,1009,5.2,87,4.4
2020,1,1,5,0,26.400000000000002,0.67,0.079,0.64,0,0,0,0,6,24.3,0,0,0,0,0.249,88.42,132.22,0.9500000000000001,0.16,1009,5.1000000000000005,84,4.5
2020,1,1,5,30,26.400000000000002,0.67,0.079,0.64,0,0,0,0,6,24.3,0,0,0,0,0.25,88.42,126.21000000000001,0.9500000000000001,0.16,1009,5,82,4.5
2020,1,1,6,0,26.400000000000002,0.66,0.08,0.64,0,0,0,0,6,24.3,0,0,0,0,0.252,88.27,119.92,0.9500000000000001,0.16,1008,5,80,4.6000000000000005
2020,1,1,6,30,26.400000000000002,0.66,0.08,0.64,0,0,0,0,6,24.3,0,0,0,0,0.252,88.36,113.42,0.9500000000000001,0.16,1009,5,79,4.5
2020,1,1,7,0,26.400000000000002,0.65,0.084,0.64,0,0,0,0,6,24.3,0,0,0,0,0.253,88.16,106.79,0.9500000000000001,0.16,1009,4.9,79,4.5
2020,1,1,7,30,26.5,0.65,0.084,0.64,0,0,0,0,6,24.3,0,0,0,0,0.253,87.65,100.05,0.9500000000000001,0.16,1009,4.9,80,4.4
2020,1,1,8,0,26.6,0.65,0.088,0.64,0,0,0,0,6,24.200000000000003,0,0,0,0,0.254,86.81,93.24,0.96,0.16,1009,4.9,81,4.4
2020,1,1,8,30,26.900000000000002,0.65,0.088,0.64,25,167,36,7,6,24.200000000000003,21,0,7,21,0.254,85.38,86.19,0.96,0.16,1010,4.9,84,4.4
2020,1,1,9,0,27.200000000000003,0.65,0.089,0.64,53,431,132,7,6,24.1,6,0,7,6,0.254,83.10000000000001,79.41,0.96,0.16,1010,4.9,86,4.4
2020,1,1,9,30,27.6,0.65,0.089,0.64,72,592,249,0,6,24.1,18,0,0,18,0.254,81.18,72.55,0.96,0.16,1010,5,88,4.4
2020,1,1,10,0,27.900000000000002,0.66,0.088,0.64,84,696,371,0,6,23.8,149,13,0,154,0.255,78.48,65.67,0.9500000000000001,0.16,1011,5,90,4.4
2020,1,1,10,30,28.200000000000003,0.66,0.088,0.64,95,767,492,0,6,23.8,44,0,0,44,0.255,77.12,58.81,0.96,0.16,1011,5,91,4.4
2020,1,1,11,0,28.5,0.68,0.088,0.64,102,817,605,0,6,23.6,110,1,0,111,0.255,74.88,52.01,0.96,0.16,1011,5,92,4.4
2020,1,1,11,30,28.700000000000003,0.68,0.088,0.64,109,854,710,0,6,23.6,249,11,0,257,0.255,74.02,45.29,0.96,0.16,1011,5,92,4.4
2020,1,1,12,0,28.900000000000002,0.56,0.14200000000000002,0.64,143,830,790,0,8,23.5,367,130,0,469,0.254,72.79,38.74,0.97,0.16,1011,5,92,4.4
2020,1,1,12,30,29.1,0.56,0.14200000000000002,0.64,148,853,867,0,7,23.5,381,269,0,608,0.254,71.96000000000001,32.44,0.96,0.16,1011,5,92,4.3
2020,1,1,13,0,29.200000000000003,0.58,0.14,0.64,150,871,929,0,8,23.5,458,87,0,536,0.253,71.37,26.6,0.96,0.16,1011,5,92,4.3
2020,1,1,13,30,29.3,0.58,0.14,0.64,153,881,972,0,8,23.5,476,105,0,574,0.253,70.89,21.6,0.96,0.16,1010,5.1000000000000005,92,4.3
2020,1,1,14,0,29.400000000000002,0.6,0.136,0.64,152,891,998,0,8,23.400000000000002,264,3,0,266,0.252,70.26,18.17,0.96,0.16,1010,5.1000000000000005,92,4.3
2020,1,1,14,30,29.400000000000002,0.6,0.136,0.64,152,892,1004,0,8,23.400000000000002,440,46,0,484,0.252,70.26,17.26,0.96,0.16,1010,5.1000000000000005,93,4.3
2020,1,1,15,0,29.400000000000002,0.62,0.132,0.64,149,893,992,0,8,23.400000000000002,392,328,0,702,0.251,69.97,19.240000000000002,0.96,0.16,1009,5.1000000000000005,93,4.4
2020,1,1,15,30,29.3,0.62,0.132,0.64,147,885,959,0,8,23.3,418,214,0,614,0.251,70.38,23.39,0.96,0.16,1009,5.1000000000000005,94,4.4
2020,1,1,16,0,29.200000000000003,0.63,0.129,0.64,142,875,910,0,7,23.3,306,531,0,771,0.25,70.76,28.77,0.96,0.16,1009,5.1000000000000005,95,4.5
2020,1,1,16,30,29,0.63,0.129,0.64,138,857,842,0,6,23.3,233,4,0,236,0.25,71.51,34.82,0.96,0.16,1008,5.1000000000000005,97,4.5
2020,1,1,17,0,28.8,0.64,0.128,0.64,132,834,759,0,1,23.400000000000002,132,834,0,759,0.249,72.55,41.24,0.96,0.16,1008,5.1000000000000005,98,4.6000000000000005
2020,1,1,17,30,28.6,0.64,0.128,0.64,125,800,662,0,7,23.400000000000002,298,313,0,508,0.249,73.4,47.870000000000005,0.96,0.16,1008,5.1000000000000005,100,4.6000000000000005
2020,1,1,18,0,28.3,0.64,0.125,0.64,116,759,555,0,7,23.5,215,380,0,435,0.249,75.2,54.620000000000005,0.96,0.16,1008,5.1000000000000005,101,4.7
2020,1,1,18,30,28.1,0.64,0.125,0.64,105,698,439,0,6,23.5,149,8,0,152,0.249,76.08,61.45,0.96,0.16,1008,5.1000000000000005,103,4.7
2020,1,1,19,0,27.900000000000002,0.67,0.114,0.64,88,627,320,0,6,23.700000000000003,14,0,0,14,0.25,77.82000000000001,68.32000000000001,0.96,0.16,1008,5.1000000000000005,104,4.800000000000001
2020,1,1,19,30,27.6,0.67,0.114,0.64,71,500,199,7,6,23.700000000000003,54,1,7,55,0.25,79.26,75.2,0.96,0.16,1009,5.2,105,4.800000000000001
2020,1,1,20,0,27.400000000000002,0.7000000000000001,0.105,0.64,46,318,90,7,6,23.900000000000002,23,0,7,23,0.251,81.47,82.05,0.9500000000000001,0.16,1009,5.2,106,4.7
2020,1,1,20,30,27.200000000000003,0.7000000000000001,0.105,0.64,11,37,12,7,8,24,5,0,7,5,0.252,82.51,88.69,0.9500000000000001,0.16,1010,5.2,107,4.7
2020,1,1,21,0,27.1,0.73,0.1,0.64,0,0,0,0,8,24.200000000000003,0,0,0,0,0.253,84.16,95.88,0.9500000000000001,0.16,1010,5.2,109,4.7
2020,1,1,21,30,27,0.73,0.1,0.64,0,0,0,0,8,24.200000000000003,0,0,0,0,0.253,84.65,102.67,0.9500000000000001,0.16,1010,5.2,110,4.7
2020,1,1,22,0,26.900000000000002,0.74,0.097,0.64,0,0,0,0,8,24.400000000000002,0,0,0,0,0.254,86.03,109.38,0.9500000000000001,0.16,1011,5.2,112,4.800000000000001
2020,1,1,22,30,26.900000000000002,0.74,0.097,0.64,0,0,0,0,8,24.400000000000002,0,0,0,0,0.254,86.03,115.97,0.9500000000000001,0.16,1011,5.2,113,4.800000000000001
