Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,9436917,-,-,-,-5.8,-35.21,0,37,-3,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,4.1.2.dev4+g3b38bc8.d20250228
Year,Month,Day,Hour,Minute,Temperature,Alpha,Aerosol Optical Depth,Asymmetry,Clearsky DHI,Clearsky DNI,Clearsky GHI,Cloud Fill Flag,Cloud Type,Dew Point,DHI,DNI,Fill Flag,GHI,Ozone,Relative Humidity,Solar Zenith Angle,SSA,Surface Albedo,Pressure,Precipitable Water,Wind Direction,Wind Speed
2024,1,1,0,0,27.400000000000002,0.8,0.07100000000000001,0.64,0,0,0,0,1,25.1,0,0,0,0,0.258,87.07000000000001,134.52,0.93,0.18,1011,5.2,64,0
2024,1,1,0,30,27.3,0.8,0.07100000000000001,0.64,0,0,0,0,1,25.1,0,0,0,0,0.258,87.58,139.91,0.93,0.18,1011,5.2,62,0
2024,1,1,1,0,27.200000000000003,0.8,0.068,0.64,0,0,0,0,1,25.1,0,0,0,0,0.257,88.5,144.6,0.93,0.18,1011,5.2,61,0
2024,1,1,1,30,27.200000000000003,0.8,0.068,0.64,0,0,0,0,1,25.1,0,0,0,0,0.256,88.41,148.28,0.93,0.18,1010,5.300000000000001,60,0
2024,1,1,2,0,27.1,0.81,0.064,0.64,0,0,0,0,0,25.200000000000003,0,0,0,0,0.255,89.21000000000001,150.56,0.93,0.18,1010,5.300000000000001,59,0
2024,1,1,2,30,27,0.81,0.064,0.64,0,0,0,0,1,25.200000000000003,0,0,0,0,0.255,89.74,151.11,0.93,0.18,1010,5.300000000000001,59,0
2024,1,1,3,0,26.900000000000002,0.81,0.063,0.64,0,0,0,0,3,25.200000000000003,0,0,0,0,0.255,90.37,149.84,0.93,0.18,1009,5.300000000000001,59,0
2024,1,1,3,30,26.900000000000002,0.81,0.063,0.64,0,0,0,0,3,25.200000000000003,0,0,0,0,0.255,90.37,146.95000000000002,0.93,0.18,1009,5.4,60,0
2024,1,1,4,0,26.8,0.8200000000000001,0.063,0.64,0,0,0,0,3,25.200000000000003,0,0,0,0,0.254,90.83,142.82,0.93,0.18,1008,5.5,61,0
2024,1,1,4,30,26.8,0.8200000000000001,0.063,0.64,0,0,0,0,3,25.200000000000003,0,0,0,0,0.254,90.83,137.82,0.93,0.18,1008,5.5,61,0
